# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.500000e+01
# lRef        : 1.420000e+00
# Aref        : 2.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
141           	-7.881672e-01	5.691094e-01	-1.921708e+00	-1.749021e+00	-1.726868e-01
142           	-7.881692e-01	5.691065e-01	-1.921709e+00	-1.749024e+00	-1.726852e-01
143           	-7.881877e-01	5.690944e-01	-1.921718e+00	-1.749047e+00	-1.726714e-01
144           	-7.881908e-01	5.690919e-01	-1.921721e+00	-1.749051e+00	-1.726698e-01
145           	-7.881980e-01	5.690870e-01	-1.921712e+00	-1.749054e+00	-1.726582e-01
146           	-7.882012e-01	5.690868e-01	-1.921716e+00	-1.749059e+00	-1.726570e-01
147           	-7.882095e-01	5.690796e-01	-1.921711e+00	-1.749065e+00	-1.726462e-01
148           	-7.882133e-01	5.690774e-01	-1.921716e+00	-1.749071e+00	-1.726445e-01
149           	-7.882111e-01	5.690660e-01	-1.921687e+00	-1.749055e+00	-1.726322e-01
150           	-7.882136e-01	5.690683e-01	-1.921691e+00	-1.749059e+00	-1.726319e-01
151           	-7.881972e-01	5.690604e-01	-1.921645e+00	-1.749020e+00	-1.726255e-01
152           	-7.882009e-01	5.690603e-01	-1.921651e+00	-1.749026e+00	-1.726247e-01
153           	-7.881780e-01	5.690364e-01	-1.921576e+00	-1.748966e+00	-1.726103e-01
154           	-7.881811e-01	5.690388e-01	-1.921582e+00	-1.748972e+00	-1.726100e-01
155           	-7.881541e-01	5.690344e-01	-1.921522e+00	-1.748915e+00	-1.726069e-01
156           	-7.881575e-01	5.690355e-01	-1.921527e+00	-1.748921e+00	-1.726062e-01
157           	-7.881187e-01	5.690141e-01	-1.921429e+00	-1.748833e+00	-1.725956e-01
158           	-7.881210e-01	5.690183e-01	-1.921434e+00	-1.748838e+00	-1.725958e-01
159           	-7.880782e-01	5.690036e-01	-1.921342e+00	-1.748749e+00	-1.725926e-01
160           	-7.880804e-01	5.690092e-01	-1.921349e+00	-1.748755e+00	-1.725939e-01
161           	-7.880422e-01	5.689754e-01	-1.921241e+00	-1.748663e+00	-1.725782e-01
162           	-7.880430e-01	5.689817e-01	-1.921245e+00	-1.748665e+00	-1.725793e-01
163           	-7.879760e-01	5.689771e-01	-1.921117e+00	-1.748535e+00	-1.725827e-01
164           	-7.879777e-01	5.689805e-01	-1.921122e+00	-1.748539e+00	-1.725832e-01
165           	-7.879061e-01	5.689114e-01	-1.920930e+00	-1.748371e+00	-1.725587e-01
166           	-7.879054e-01	5.689179e-01	-1.920931e+00	-1.748371e+00	-1.725601e-01
167           	-7.878385e-01	5.688769e-01	-1.920776e+00	-1.748227e+00	-1.725498e-01
168           	-7.878354e-01	5.688889e-01	-1.920779e+00	-1.748225e+00	-1.725540e-01
169           	-7.877582e-01	5.688283e-01	-1.920585e+00	-1.748051e+00	-1.725343e-01
170           	-7.877525e-01	5.688427e-01	-1.920584e+00	-1.748044e+00	-1.725394e-01
171           	-7.876523e-01	5.687682e-01	-1.920353e+00	-1.747829e+00	-1.725243e-01
172           	-7.876478e-01	5.687751e-01	-1.920350e+00	-1.747823e+00	-1.725273e-01
173           	-7.875363e-01	5.686707e-01	-1.920081e+00	-1.747577e+00	-1.725040e-01
174           	-7.875306e-01	5.686776e-01	-1.920076e+00	-1.747568e+00	-1.725072e-01
175           	-7.873825e-01	5.685814e-01	-1.919755e+00	-1.747260e+00	-1.724950e-01
176           	-7.872438e-01	5.685244e-01	-1.919467e+00	-1.746977e+00	-1.724897e-01
177           	-7.872395e-01	5.685335e-01	-1.919466e+00	-1.746973e+00	-1.724934e-01
178           	-7.870732e-01	5.683713e-01	-1.919065e+00	-1.746606e+00	-1.724594e-01
179           	-7.870698e-01	5.683665e-01	-1.919057e+00	-1.746598e+00	-1.724586e-01
180           	-7.868933e-01	5.682146e-01	-1.918645e+00	-1.746216e+00	-1.724294e-01
181           	-7.867197e-01	5.681774e-01	-1.918313e+00	-1.745876e+00	-1.724368e-01
182           	-7.865871e-01	5.681491e-01	-1.918062e+00	-1.745618e+00	-1.724440e-01
183           	-7.864880e-01	5.680911e-01	-1.917852e+00	-1.745414e+00	-1.724380e-01
184           	-7.864857e-01	5.680843e-01	-1.917844e+00	-1.745408e+00	-1.724364e-01
185           	-7.864138e-01	5.679097e-01	-1.917578e+00	-1.745203e+00	-1.723754e-01
