# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
112           	1.563658e-01	4.163509e-01	6.376946e-02	1.882505e-01	-1.244811e-01
113           	1.564634e-01	4.165535e-01	6.380363e-02	1.883652e-01	-1.245616e-01
114           	1.564117e-01	4.165212e-01	6.377459e-02	1.882990e-01	-1.245244e-01
115           	1.564624e-01	4.166778e-01	6.378638e-02	1.883556e-01	-1.245692e-01
116           	1.564076e-01	4.166362e-01	6.375831e-02	1.882867e-01	-1.245284e-01
117           	1.564776e-01	4.167810e-01	6.376050e-02	1.883579e-01	-1.245974e-01
118           	1.564817e-01	4.168162e-01	6.375058e-02	1.883570e-01	-1.246064e-01
119           	1.565956e-01	4.170405e-01	6.372290e-02	1.884571e-01	-1.247342e-01
120           	1.566693e-01	4.172130e-01	6.364041e-02	1.884895e-01	-1.248491e-01
121           	1.568019e-01	4.175199e-01	6.353784e-02	1.885708e-01	-1.250330e-01
122           	1.569028e-01	4.178268e-01	6.335751e-02	1.885816e-01	-1.252241e-01
123           	1.569619e-01	4.180911e-01	6.317295e-02	1.885484e-01	-1.253754e-01
124           	1.569821e-01	4.183338e-01	6.300089e-02	1.884825e-01	-1.254816e-01
125           	1.569699e-01	4.185437e-01	6.282825e-02	1.883841e-01	-1.255558e-01
126           	1.569150e-01	4.187013e-01	6.271807e-02	1.882740e-01	-1.255559e-01
127           	1.568372e-01	4.188228e-01	6.262838e-02	1.881514e-01	-1.255230e-01
128           	1.567141e-01	4.189083e-01	6.254685e-02	1.879876e-01	-1.254407e-01
129           	1.565839e-01	4.189433e-01	6.251888e-02	1.878433e-01	-1.253245e-01
130           	1.564551e-01	4.189693e-01	6.252500e-02	1.877176e-01	-1.251926e-01
131           	1.563517e-01	4.189636e-01	6.258325e-02	1.876433e-01	-1.250601e-01
132           	1.562815e-01	4.189659e-01	6.269333e-02	1.876282e-01	-1.249348e-01
133           	1.562344e-01	4.189684e-01	6.276494e-02	1.876169e-01	-1.248519e-01
134           	1.562093e-01	4.189809e-01	6.284635e-02	1.876325e-01	-1.247862e-01
135           	1.562058e-01	4.190121e-01	6.286878e-02	1.876402e-01	-1.247714e-01
136           	1.562339e-01	4.190794e-01	6.293262e-02	1.877002e-01	-1.247676e-01
137           	1.562643e-01	4.191469e-01	6.291981e-02	1.877242e-01	-1.248044e-01
138           	1.562677e-01	4.191988e-01	6.294046e-02	1.877379e-01	-1.247974e-01
139           	1.562602e-01	4.192228e-01	6.288717e-02	1.877037e-01	-1.248166e-01
140           	1.562570e-01	4.192636e-01	6.291276e-02	1.877133e-01	-1.248006e-01
141           	1.562180e-01	4.192562e-01	6.282143e-02	1.876287e-01	-1.248072e-01
142           	1.561634e-01	4.192402e-01	6.282635e-02	1.875766e-01	-1.247502e-01
143           	1.560826e-01	4.191553e-01	6.275871e-02	1.874620e-01	-1.247033e-01
144           	1.559950e-01	4.190782e-01	6.279869e-02	1.873943e-01	-1.245957e-01
145           	1.558841e-01	4.189390e-01	6.274893e-02	1.872586e-01	-1.245097e-01
146           	1.558019e-01	4.188280e-01	6.282930e-02	1.872166e-01	-1.243873e-01
147           	1.557086e-01	4.186702e-01	6.282740e-02	1.871223e-01	-1.242949e-01
148           	1.556677e-01	4.185795e-01	6.293123e-02	1.871333e-01	-1.242021e-01
149           	1.556181e-01	4.184642e-01	6.291728e-02	1.870767e-01	-1.241595e-01
150           	1.556125e-01	4.184158e-01	6.300225e-02	1.871136e-01	-1.241114e-01
151           	1.556182e-01	4.183556e-01	6.301642e-02	1.871264e-01	-1.241100e-01
152           	1.556743e-01	4.183868e-01	6.312840e-02	1.872385e-01	-1.241101e-01
153           	1.557017e-01	4.183646e-01	6.315450e-02	1.872790e-01	-1.241245e-01
154           	1.557755e-01	4.184349e-01	6.328498e-02	1.874180e-01	-1.241330e-01
155           	1.558345e-01	4.185038e-01	6.328472e-02	1.874768e-01	-1.241921e-01
156           	1.559026e-01	4.186091e-01	6.338085e-02	1.875930e-01	-1.242122e-01
157           	1.559481e-01	4.186789e-01	6.335184e-02	1.876241e-01	-1.242722e-01
158           	1.560148e-01	4.187874e-01	6.347330e-02	1.877514e-01	-1.242781e-01
159           	1.560513e-01	4.188468e-01	6.347783e-02	1.877902e-01	-1.243124e-01
160           	1.560924e-01	4.189399e-01	6.353807e-02	1.878614e-01	-1.243234e-01
161           	1.560995e-01	4.189793e-01	6.347816e-02	1.878386e-01	-1.243605e-01
162           	1.561308e-01	4.190472e-01	6.353310e-02	1.878973e-01	-1.243642e-01
163           	1.561549e-01	4.190944e-01	6.347532e-02	1.878926e-01	-1.244173e-01
164           	1.561830e-01	4.191586e-01	6.351064e-02	1.879383e-01	-1.244276e-01
165           	1.562132e-01	4.192217e-01	6.345670e-02	1.879416e-01	-1.244849e-01
166           	1.562686e-01	4.193389e-01	6.347462e-02	1.880059e-01	-1.245313e-01
167           	1.562978e-01	4.194122e-01	6.340444e-02	1.880000e-01	-1.245956e-01
168           	1.563591e-01	4.195014e-01	6.345218e-02	1.880852e-01	-1.246330e-01
169           	1.563975e-01	4.195497e-01	6.339190e-02	1.880935e-01	-1.247016e-01
170           	1.564658e-01	4.196107e-01	6.344526e-02	1.881884e-01	-1.247432e-01
171           	1.564896e-01	4.196294e-01	6.334235e-02	1.881608e-01	-1.248184e-01
172           	1.564969e-01	4.195811e-01	6.334488e-02	1.881694e-01	-1.248245e-01
173           	1.564944e-01	4.194825e-01	6.327467e-02	1.881317e-01	-1.248570e-01
174           	1.565076e-01	4.193995e-01	6.334965e-02	1.881825e-01	-1.248328e-01
175           	1.564753e-01	4.192290e-01	6.319421e-02	1.880724e-01	-1.248782e-01
176           	1.564544e-01	4.191229e-01	6.318937e-02	1.880491e-01	-1.248597e-01
