# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
242           	5.848073e+00	2.184689e+00	6.193198e-01	6.157733e+00	-5.538414e+00
243           	5.840893e+00	2.183847e+00	6.250993e-01	6.153443e+00	-5.528343e+00
244           	5.833734e+00	2.181902e+00	6.270486e-01	6.147259e+00	-5.520210e+00
245           	5.828180e+00	2.179625e+00	6.260229e-01	6.141192e+00	-5.515169e+00
246           	5.825591e+00	2.177358e+00	6.215991e-01	6.136390e+00	-5.514791e+00
247           	5.825705e+00	2.175190e+00	6.143487e-01	6.132879e+00	-5.518530e+00
248           	5.828522e+00	2.173449e+00	6.053615e-01	6.131203e+00	-5.525841e+00
249           	5.832990e+00	2.172092e+00	5.956661e-01	6.130823e+00	-5.535157e+00
250           	5.840025e+00	2.171310e+00	5.848255e-01	6.132438e+00	-5.547613e+00
251           	5.846630e+00	2.170965e+00	5.758205e-01	6.134540e+00	-5.558720e+00
252           	5.853969e+00	2.171257e+00	5.681004e-01	6.138019e+00	-5.569919e+00
253           	5.861846e+00	2.172296e+00	5.623322e-01	6.143012e+00	-5.580680e+00
254           	5.870121e+00	2.174165e+00	5.590117e-01	6.149627e+00	-5.590615e+00
255           	5.877787e+00	2.176672e+00	5.586492e-01	6.157112e+00	-5.598462e+00
256           	5.884204e+00	2.179815e+00	5.619670e-01	6.165188e+00	-5.603221e+00
257           	5.887642e+00	2.183119e+00	5.693272e-01	6.172306e+00	-5.602979e+00
258           	5.884921e+00	2.185356e+00	5.802014e-01	6.175022e+00	-5.594820e+00
259           	5.874352e+00	2.185526e+00	5.931100e-01	6.170907e+00	-5.577797e+00
260           	5.857189e+00	2.183451e+00	6.060259e-01	6.160202e+00	-5.554176e+00
261           	5.838074e+00	2.179903e+00	6.161864e-01	6.146168e+00	-5.529981e+00
262           	5.818005e+00	2.174838e+00	6.221290e-01	6.129070e+00	-5.506941e+00
263           	5.800424e+00	2.169292e+00	6.233186e-01	6.112083e+00	-5.488765e+00
264           	5.783270e+00	2.162789e+00	6.204431e-01	6.093492e+00	-5.473049e+00
265           	5.773738e+00	2.158020e+00	6.146259e-01	6.081051e+00	-5.466425e+00
266           	5.769339e+00	2.153930e+00	6.050613e-01	6.071869e+00	-5.466808e+00
267           	5.769018e+00	2.151324e+00	5.957972e-01	6.066916e+00	-5.471119e+00
268           	5.770859e+00	2.149766e+00	5.876619e-01	6.064690e+00	-5.477028e+00
269           	5.776104e+00	2.149723e+00	5.809605e-01	6.066584e+00	-5.485624e+00
270           	5.782735e+00	2.150721e+00	5.763548e-01	6.070913e+00	-5.494558e+00
271           	5.790382e+00	2.152616e+00	5.737929e-01	6.077278e+00	-5.503485e+00
272           	5.798355e+00	2.155056e+00	5.728245e-01	6.084767e+00	-5.511943e+00
273           	5.806248e+00	2.157757e+00	5.729662e-01	6.092731e+00	-5.519765e+00
